DEBUG 2025-08-07 17:44:10,667 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1754560992.8485556
DEBUG 2025-08-07 17:44:10,724 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\account\apps.py first seen with mtime 1749953386.533605
DEBUG 2025-08-07 17:44:10,779 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1754560995.2799034
DEBUG 2025-08-07 17:44:10,857 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1754560995.3069136
DEBUG 2025-08-07 17:44:10,883 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1754560989.575736
DEBUG 2025-08-07 17:44:11,026 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1754560995.2769115
DEBUG 2025-08-07 17:44:11,092 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1754560989.925934
DEBUG 2025-08-07 17:44:11,118 autoreload File C:\Python 3.13.5\Lib\linecache.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:11,166 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1754560994.786409
DEBUG 2025-08-07 17:44:11,267 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1754560973.7085721
DEBUG 2025-08-07 17:44:11,332 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1754560994.6964889
DEBUG 2025-08-07 17:44:11,366 autoreload File C:\Python 3.13.5\Lib\urllib\response.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:11,420 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework_simplejwt\exceptions.py first seen with mtime 1754561018.0198586
DEBUG 2025-08-07 17:44:11,461 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1754560985.539987
DEBUG 2025-08-07 17:44:11,508 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1754560989.5623076
DEBUG 2025-08-07 17:44:11,529 autoreload File C:\Python 3.13.5\Lib\asyncio\base_futures.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:11,621 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\files\move.py first seen with mtime 1754560994.7054663
DEBUG 2025-08-07 17:44:11,678 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1754560994.9638982
DEBUG 2025-08-07 17:44:11,770 autoreload File C:\Python 3.13.5\Lib\email\mime\text.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:11,902 autoreload File C:\Python 3.13.5\Lib\pathlib\_abc.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:11,954 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\forms\formsets.py first seen with mtime 1754560995.0091317
DEBUG 2025-08-07 17:44:11,970 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\template\autoreload.py first seen with mtime 1754560995.1820774
DEBUG 2025-08-07 17:44:12,029 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\views\__init__.py first seen with mtime 1754560995.3308501
DEBUG 2025-08-07 17:44:12,101 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1754560977.350521
DEBUG 2025-08-07 17:44:12,180 autoreload File C:\Python 3.13.5\Lib\asyncio\coroutines.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:12,218 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1754560994.7085378
DEBUG 2025-08-07 17:44:12,259 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1754560989.5694273
DEBUG 2025-08-07 17:44:12,348 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\utils\_os.py first seen with mtime 1754560995.2625942
DEBUG 2025-08-07 17:44:12,418 autoreload File C:\Python 3.13.5\Lib\email\encoders.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:12,447 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1754561011.1427734
DEBUG 2025-08-07 17:44:12,525 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework_simplejwt\utils.py first seen with mtime 1754561018.0249865
DEBUG 2025-08-07 17:44:12,624 autoreload File C:\Python 3.13.5\Lib\multiprocessing\process.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:12,673 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1754561011.14477
DEBUG 2025-08-07 17:44:12,698 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1754560994.9749088
DEBUG 2025-08-07 17:44:12,761 autoreload File C:\Python 3.13.5\Lib\importlib\resources\_adapters.py first seen with mtime 1749643768.0
DEBUG 2025-08-07 17:44:12,810 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1754560977.4295626
DEBUG 2025-08-07 17:44:12,876 autoreload File C:\Python 3.13.5\DLLs\_socket.pyd first seen with mtime 1749643822.0
DEBUG 2025-08-07 17:44:12,926 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1754560995.3388276
DEBUG 2025-08-07 17:44:12,937 autoreload File L:\Programming\Python\All-Main Problem Solving\Python practice\Django\Projects\Crms\env\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1754560989.5674317
